-1.5 , 7 , 2.4 , 1024.5 , 0 
-3.8 , 5 , 2.8 , 1031.1 , 0 
-4.4 , 4 , 1.1 , 1033.6 , 0 
-0.9 , 4 , 1.8 , 1028.8 , 0 
-6.5 , 3 , 1.9 , 1030.5 , 0.0
-4.2 , 6 , 3.4 , 1019.3 , 0.0
-14.2 , 4 , 2.1 , 1027.6 , 0 
-13.1 , 4 , 3.4 , 1024.1 , 0 
-10.2 , 4 , 4.2 , 1025.3 , 0 
-4.4 , 4 , 0.9 , 1028.1 , 0 
-5.4 , 5 , 1.3 , 1024.4 , 0 
-1.3 , 9 , 2.2 , 1015.7 , 2.5
5.8 , 8 , 2.1 , 1014.4 , 0.0
3.9 , 3 , 2.7 , 1020.7 , 0 
4.0 , 8 , 3.7 , 1016.2 , 0.2
-4.7 , 5 , 4.9 , 1026.9 , 0 
-2.8 , 6 , 1.9 , 1024.9 , 0.0
-4.9 , 4 , 4.8 , 1024.5 , 0.3
-3.6 , 2 , 1.3 , 1033.0 , 0 
3.1 , 3 , 0.5 , 1027.8 , 0 
4.6 , 9 , 1.8 , 1021.3 , 6.0
5.6 , 9 , 1.4 , 1020.0 , 0.1
8.4 , 5 , 4.5 , 1020.6 , 0 
9.0 , 5 , 2.0 , 1026.7 , 0 
10.9 , 4 , 0.5 , 1023.4 , 0 
4.7 , 8 , 2.6 , 1020.0 , 1.7
2.6 , 4 , 3.2 , 1022.8 , 0 
-5.6 , 4 , 5.2 , 1019.0 , 2.0
-7.1 , 3 , 1.7 , 1026.6 , 0 
1.6 , 5 , 1.7 , 1027.3 , 0.5
7.4 , 5 , 0.9 , 1023.5 , 0 
5.2 , 8 , 3.5 , 1016.0 , 0.7
-4.4 , 5 , 3.1 , 1025.7 , 0.0
-0.1 , 7 , 2.2 , 1022.4 , 0.0
-2.3 , 4 , 2.7 , 1027.7 , 0.1
4.5 , 7 , 3.2 , 1018.1 , 0 
7.7 , 8 , 2.2 , 1014.3 , 0 
2.8 , 3 , 3.9 , 1023.0 , 0 
-2.2 , 3 , 3.9 , 1029.1 , 0 
1.5 , 5 , 2.5 , 1026.7 , 0 
5.5 , 7 , 2.4 , 1024.3 , 0 
7.5 , 6 , 1.4 , 1023.5 , 0 
9.2 , 5 , 2.7 , 1024.9 , 0 
10.6 , 3 , 2.3 , 1022.4 , 0 
10.3 , 4 , 2.1 , 1012.0 , 0.0
-2.5 , 5 , 5.1 , 1013.4 , 1.4
-4.1 , 4 , 4.0 , 1016.0 , 1.5
-8.2 , 5 , 5.7 , 1019.7 , 0 
-2.6 , 4 , 2.6 , 1022.6 , 0 
6.4 , 7 , 4.5 , 1012.6 , 0 
10.0 , 2 , 1.7 , 1009.8 , 0 
13.9 , 5 , 3.5 , 1008.9 , 0 
6.6 , 3 , 4.3 , 1017.3 , 0 
1.6 , 2 , 3.0 , 1025.8 , 0 
5.9 , 2 , 1.9 , 1023.7 , 0 
6.6 , 3 , 1.8 , 1022.9 , 0 
12.0 , 2 , 2.2 , 1023.4 , 0 
12.4 , 4 , 2.2 , 1027.4 , 0 
9.8 , 4 , 1.2 , 1025.2 , 0 
1.5 , 9 , 4.1 , 1013.4 , 63.5
3.8 , 6 , 2.1 , 1028.0 , 0.1
6.9 , 3 , 2.3 , 1027.5 , 0 
10.2 , 5 , 2.5 , 1022.3 , 0 
11.3 , 6 , 2.9 , 1020.6 , 0 
5.4 , 5 , 5.1 , 1028.5 , 0 
7.9 , 6 , 2.9 , 1026.6 , 0 
9.3 , 4 , 2.7 , 1025.8 , 0 
7.3 , 5 , 2.8 , 1025.7 , 0 
11.7 , 5 , 2.6 , 1027.1 , 0 
12.0 , 4 , 3.2 , 1023.6 , 0 
11.3 , 6 , 4.4 , 1021.8 , 0.0
10.3 , 6 , 3.0 , 1019.8 , 0 
10.4 , 6 , 3.0 , 1019.4 , 0 
12.9 , 5 , 3.2 , 1013.6 , 0 
9.1 , 4 , 3.7 , 1016.2 , 1.3
11.0 , 4 , 2.8 , 1018.9 , 0 
14.2 , 4 , 1.7 , 1018.8 , 0 
16.1 , 4 , 3.1 , 1016.3 , 0 
8.9 , 9 , 2.1 , 1011.6 , 5.1
5.3 , 5 , 5.0 , 1016.4 , 0.3
8.1 , 4 , 3.4 , 1019.3 , 0 
11.2 , 5 , 3.1 , 1019.2 , 0 
11.9 , 6 , 3.4 , 1019.3 , 0 
13.1 , 6 , 3.4 , 1020.6 , 0 
16.9 , 3 , 2.4 , 1017.8 , 0 
11.2 , 9 , 3.7 , 1005.1 , 16.6
8.9 , 9 , 2.4 , 1004.8 , 8.2
10.7 , 4 , 3.0 , 1008.8 , 0.2
13.4 , 3 , 4.3 , 1012.3 , 0 
18.9 , 3 , 1.8 , 1012.8 , 0 
20.6 , 2 , 4.6 , 1017.5 , 0 
19.9 , 3 , 2.3 , 1017.2 , 0.0
14.0 , 9 , 3.3 , 1009.1 , 49.2
13.6 , 5 , 2.4 , 1016.4 , 0.6
14.4 , 3 , 2.7 , 1020.3 , 0 
16.0 , 4 , 2.5 , 1018.0 , 0 
15.8 , 2 , 2.7 , 1017.4 , 0 
15.1 , 2 , 4.5 , 1017.3 , 0 
