6.1 , 5 , 2.9 , 2.3
5.0 , 6 , 3.7 , 0 
7.5 , 3 , 2.4 , 0 
9.9 , 7 , 6.4 , 0 
2.6 , 3 , 3.0 , 0 
2.6 , 4 , 3.9 , 0 
4.8 , 4 , 2.8 , 0 
7.5 , 6 , 2.3 , 0 
9.7 , 5 , 1.6 , 0 
11.1 , 4 , 2.4 , 0 
14.3 , 6 , 1.9 , 0 
15.6 , 8 , 3.0 , 0 
12.3 , 9 , 1.4 , 42.1
7.0 , 9 , 3.0 , 8.7
10.9 , 5 , 2.3 , 0 
13.7 , 5 , 3.5 , 0 
13.1 , 6 , 2.7 , 0.3
7.1 , 5 , 4.7 , 0.0
5.6 , 7 , 1.7 , 14.6
5.5 , 5 , 2.6 , 0.0
6.4 , 3 , 2.8 , 0 
9.4 , 5 , 4.0 , 0 
6.3 , 6 , 2.9 , 0 
11.1 , 6 , 2.6 , 0 
16.4 , 5 , 2.8 , 0 
12.9 , 7 , 3.4 , 19.8
7.7 , 3 , 2.6 , 0 
10.8 , 3 , 3.7 , 0 
12.4 , 5 , 2.1 , 0 
12.4 , 8 , 1.7 , 0.4
